id,created_at,created_at_epoch,adjective,category,modifier,name,price
3641,2013-02-22 14:29:32,1361536172000,aerodynamic,dongle,,aerodynamic dongle,42.0
233,2013-02-22 16:36:24,1361543784000,fuzzy,dongle,opener,fuzzy dongle opener,15.0
3923,2013-02-22 17:01:30,1361545290000,miniature,contraption,warmer,miniature contraption warmer,151.25
2139,2013-02-22 18:18:23,1361549903000,analog,apparatus,how-to-manual,analog apparatus how-to-manual,0.0
2993,2013-02-23 13:06:36,1361617596000,fuzzy,apparatus,,fuzzy apparatus,300.0
232,2013-02-24 06:07:28,1361678848000,rechargable,contraption,,rechargable contraption,325.0
901,2013-02-24 08:02:38,1361685758000,glossy,gadget,,glossy gadget,106.8
6,2013-02-24 13:13:58,1361704438000,organic,module,,organic module,150.0
1993,2013-02-24 22:31:57,1361737917000,extra-strength,contraption,,extra-strength contraption,500.0
259,2013-02-24 23:55:07,1361742907000,matte,module,opener,matte module opener,62.5
1229,2013-02-25 01:58:30,1361750310000,extra-strength,widget,warmer,extra-strength widget warmer,6.6
1115,2013-02-25 02:08:18,1361750898000,,gadget,storage_unit,gadget storage_unit,222.5
39,2013-02-25 04:54:43,1361760883000,,tool,,tool,25.0
2484,2013-02-25 06:32:31,1361766751000,prize-winning,device,charger,prize-winning device charger,11.0
3846,2013-02-25 08:41:00,1361774460000,digital,gadget,opener,digital gadget opener,48.95
1836,2013-02-25 09:32:28,1361777548000,matte,widget,,matte widget,3.75
1312,2013-02-25 12:23:18,1361787798000,digital,tool,carrying_case,digital tool carrying_case,16.5
3195,2013-02-25 14:26:59,1361795219000,fuzzy,mechanism,warmer,fuzzy mechanism warmer,16.5
218,2013-02-25 14:37:38,1361795858000,reflective,gadget,,reflective gadget,115.7
3953,2013-02-25 14:54:20,1361796860000,organic,widget,wrapper,organic widget wrapper,1.8
383,2013-02-25 15:00:27,1361797227000,,device,wrapper,device wrapper,20.0
42,2013-02-25 17:11:34,1361805094000,organic,dongle,,organic dongle,45.0
2833,2013-02-25 23:16:37,1361826997000,prize-winning,tool,charger,prize-winning tool charger,5.5
93,2013-02-26 02:41:23,1361839283000,reflective,apparatus,wrapper,reflective apparatus wrapper,156.0
3053,2013-02-26 03:22:16,1361841736000,fuzzy,device,,fuzzy device,50.0
1743,2013-02-26 06:32:29,1361853149000,,module,wrapper,module wrapper,40.0
1962,2013-02-26 07:50:03,1361857803000,aerodynamic,instrument,refill,aerodynamic instrument refill,49.28
2807,2013-02-26 09:06:21,1361862381000,aerodynamic,widget,,aerodynamic widget,4.2
3015,2013-02-26 18:24:13,1361895853000,organic,dongle,charger,organic dongle charger,9.0
1590,2013-02-26 20:46:37,1361904397000,extra-strength,device,storage_unit,extra-strength device storage_unit,250.0
3350,2013-02-26 21:27:00,1361906820000,,tool,refill,tool refill,20.0
1280,2013-02-26 23:46:15,1361915175000,reflective,mechanism,charger,reflective mechanism charger,3.9
3234,2013-02-27 08:19:14,1361945954000,miniature,widget,,miniature widget,1.65
3513,2013-02-27 09:17:53,1361949473000,fuzzy,mechanism,storage_unit,fuzzy mechanism storage_unit,37.5
299,2013-02-27 16:12:46,1361974366000,miniature,widget,how-to-manual,miniature widget how-to-manual,0.0
2746,2013-02-27 23:01:15,1361998875000,aerodynamic,instrument,storage_unit,aerodynamic instrument storage_unit,154.0
1000,2013-02-28 01:47:35,1362008855000,industrial-strength,instrument,,industrial-strength instrument,132.0
106,2013-02-28 15:31:00,1362058260000,analog,widget,carrying_case,analog widget carrying_case,1.62
2616,2013-02-28 18:52:58,1362070378000,industrial-strength,widget,warmer,industrial-strength widget warmer,9.9
87,2013-02-28 19:30:42,1362072642000,rechargable,gadget,how-to-manual,rechargable gadget how-to-manual,0.0
1757,2013-03-01 11:25:43,1362129943000,analog,widget,,analog widget,2.7
162,2013-03-01 14:12:41,1362139961000,prize-winning,module,,prize-winning module,110.0
460,2013-03-01 15:37:58,1362145078000,,widget,carrying_case,widget carrying_case,1.8
928,2013-03-01 19:15:32,1362158132000,glossy,device,charger,glossy device charger,12.0
1679,2013-03-01 22:43:22,1362170602000,matte,apparatus,wrapper,matte apparatus wrapper,150.0
1455,2013-03-02 07:33:21,1362202401000,miniature,apparatus,how-to-manual,miniature apparatus how-to-manual,0.0
1424,2013-03-02 12:32:57,1362220377000,digital,instrument,how-to-manual,digital instrument how-to-manual,0.0
3682,2013-03-02 16:34:38,1362234878000,fuzzy,instrument,,fuzzy instrument,44.0
2156,2013-03-02 21:02:19,1362250939000,rechargable,instrument,opener,rechargable instrument opener,28.6
2172,2013-03-02 21:39:05,1362253145000,extra-strength,widget,,extra-strength widget,6.0
1661,2013-03-03 00:02:04,1362261724000,industrial-strength,dongle,carrying_case,industrial-strength dongle carrying_case,54.0
1285,2013-03-03 00:20:19,1362262819000,organic,module,refill,organic module refill,120.0
1401,2013-03-03 03:46:36,1362275196000,glossy,device,wrapper,glossy device wrapper,24.0
3120,2013-03-03 06:06:12,1362283572000,,contraption,carrying_case,contraption carrying_case,150.0
3332,2013-03-03 06:11:50,1362283910000,aerodynamic,device,carrying_case,aerodynamic device carrying_case,42.0
12,2013-03-03 18:03:15,1362326595000,fuzzy,module,opener,fuzzy module opener,50.0
735,2013-03-03 18:19:57,1362327597000,glossy,mechanism,carrying_case,glossy mechanism carrying_case,10.8
3363,2013-03-03 21:59:37,1362340777000,rechargable,module,cleaner,rechargable module cleaner,78.0
931,2013-03-04 01:11:26,1362352286000,miniature,device,cleaner,miniature device cleaner,16.5
69,2013-03-04 04:28:51,1362364131000,organic,apparatus,how-to-manual,organic apparatus how-to-manual,0.0
3219,2013-03-04 12:31:10,1362393070000,extra-strength,device,charger,extra-strength device charger,20.0
2379,2013-03-04 16:29:34,1362407374000,,device,wrapper,device wrapper,20.0
3914,2013-03-04 21:47:15,1362426435000,,apparatus,charger,apparatus charger,60.0
3223,2013-03-04 23:24:06,1362432246000,matte,apparatus,cleaner,matte apparatus cleaner,225.0
2683,2013-03-05 01:09:16,1362438556000,aerodynamic,tool,warmer,aerodynamic tool warmer,38.5
46,2013-03-05 07:04:52,1362459892000,industrial-strength,instrument,warmer,industrial-strength instrument warmer,145.2
974,2013-03-05 17:22:21,1362496941000,analog,widget,,analog widget,2.7
1036,2013-03-05 18:04:44,1362499484000,fuzzy,tool,,fuzzy tool,25.0
118,2013-03-05 18:13:15,1362499995000,glossy,device,refill,glossy device refill,48.0
3540,2013-03-05 21:12:25,1362510745000,organic,contraption,refill,organic contraption refill,300.0
3766,2013-03-06 00:12:04,1362521524000,digital,mechanism,wrapper,digital mechanism wrapper,6.6
1411,2013-03-06 20:29:40,1362594580000,extra-strength,mechanism,charger,extra-strength mechanism charger,6.0
366,2013-03-06 21:57:35,1362599855000,glossy,widget,,glossy widget,3.6
3483,2013-03-07 00:22:07,1362608527000,matte,mechanism,cleaner,matte mechanism cleaner,11.25
3409,2013-03-07 01:04:15,1362611055000,organic,module,wrapper,organic module wrapper,60.0
637,2013-03-07 05:09:23,1362625763000,extra-strength,apparatus,refill,extra-strength apparatus refill,480.0
333,2013-03-07 06:38:56,1362631136000,aerodynamic,module,,aerodynamic module,140.0
3808,2013-03-07 08:12:25,1362636745000,prize-winning,instrument,opener,prize-winning instrument opener,24.2
219,2013-03-08 07:28:41,1362720521000,,apparatus,,apparatus,300.0
1621,2013-03-08 08:01:19,1362722479000,reflective,mechanism,opener,reflective mechanism opener,9.75
2327,2013-03-08 12:50:38,1362739838000,rechargable,apparatus,wrapper,rechargable apparatus wrapper,156.0
1926,2013-03-08 14:46:52,1362746812000,matte,tool,carrying_case,matte tool carrying_case,18.75
2625,2013-03-08 14:50:12,1362747012000,prize-winning,module,opener,prize-winning module opener,55.0
888,2013-03-08 20:07:00,1362766020000,,widget,,widget,3.0
1485,2013-03-08 21:21:07,1362770467000,reflective,mechanism,carrying_case,reflective mechanism carrying_case,11.7
862,2013-03-09 06:13:58,1362802438000,prize-winning,gadget,storage_unit,prize-winning gadget storage_unit,244.75
2317,2013-03-09 15:12:38,1362834758000,analog,mechanism,wrapper,analog mechanism wrapper,5.4
3637,2013-03-10 02:29:53,1362875393000,aerodynamic,contraption,,aerodynamic contraption,350.0
3179,2013-03-10 09:24:02,1362900242000,,gadget,,gadget,89.0
689,2013-03-10 09:37:00,1362901020000,glossy,widget,,glossy widget,3.6
1771,2013-03-10 11:18:05,1362907085000,,apparatus,carrying_case,apparatus carrying_case,180.0
787,2013-03-10 14:49:36,1362919776000,fuzzy,instrument,,fuzzy instrument,44.0
3037,2013-03-10 15:13:22,1362921202000,matte,module,storage_unit,matte module storage_unit,312.5
3819,2013-03-10 19:15:13,1362935713000,industrial-strength,instrument,,industrial-strength instrument,132.0
